,pge_ecr,sce_ecr,sdge_ecr
556,0.0506,0.04871,0.05058
557,0.0509,0.0481,0.04995
558,0.0531,0.04889,0.05076
559,0.0556,0.05247,0.0543
560,0.0567,0.05244,0.05409
561,0.0544,0.04571,0.04632
562,0.0476,0.03693,0.03746
563,0.0455,0.03591,0.03639
564,0.0457,0.03794,0.03855
565,0.0444,0.03722,0.0378
566,0.0441,0.03715,0.03784
567,0.046,0.03877,0.03955
568,0.0521,0.04726,0.0483
569,0.0605,0.05961,0.06083
570,0.062,0.06141,0.06119
571,0.0647,0.07133,0.06385
572,0.0632,0.07045,0.06291
573,0.0615,0.06694,0.06151
574,0.0584,0.06259,0.05886
575,0.0564,0.0577,0.05736
576,0.0547,0.05594,0.05761
577,0.0523,0.05132,0.05314
578,0.0529,0.0513,0.05325
579,0.0513,0.05005,0.05198
580,0.0506,0.04871,0.05058
581,0.0509,0.0481,0.04995
582,0.0531,0.04889,0.05076
583,0.0556,0.05247,0.0543
584,0.0567,0.05244,0.05409
585,0.0544,0.04571,0.04632
586,0.0476,0.03693,0.03746
587,0.0455,0.03591,0.03639
588,0.0457,0.03794,0.03855
589,0.0444,0.03722,0.0378
590,0.0441,0.03715,0.03784
591,0.046,0.03877,0.03955
592,0.0521,0.04726,0.0483
593,0.0605,0.05961,0.06083
594,0.062,0.06141,0.06119
595,0.0647,0.07133,0.06385
596,0.0632,0.07045,0.06291
597,0.0615,0.06694,0.06151
598,0.0584,0.06259,0.05886
599,0.0564,0.0577,0.05736
600,0.0547,0.05594,0.05761
601,0.0523,0.05132,0.05314
602,0.0529,0.0513,0.05325
603,0.0513,0.05005,0.05198
604,0.0506,0.04871,0.05058
605,0.0509,0.0481,0.04995
606,0.0531,0.04889,0.05076
607,0.0556,0.05247,0.0543
608,0.0567,0.05244,0.05409
609,0.0544,0.04571,0.04632
610,0.0476,0.03693,0.03746
611,0.0455,0.03591,0.03639
612,0.0457,0.03794,0.03855
613,0.0444,0.03722,0.0378
