Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,81604,-,-,-,33.85,-118.18,-8,15,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2001,1,1,0,30,2,0,0,0,0.13,1000,13,74,1.1,,,,,,
2001,1,1,1,30,1,0,0,0,0.13,1000,13,72,1.1,,,,,,
2001,1,1,2,30,1,0,0,0,0.13,1000,13,69,1.1,,,,,,
2001,1,1,3,30,0,0,0,0,0.13,1000,13,63,1.1,,,,,,
2001,1,1,4,30,0,0,0,0,0.13,1000,13,58,1.2000000000000002,,,,,,
2001,1,1,5,30,-1,0,0,0,0.13,1000,13,57,1.3,,,,,,
2001,1,1,6,30,-1,0,0,0,0.13,1000,13,58,1.4000000000000001,,,,,,
2001,1,1,7,30,-1,29,0,29,0.13,1000,14,58,1.8,,,,,,
2001,1,1,8,30,-1,105,73,124,0.13,1000,17,57,2.2,,,,,,
2001,1,1,9,30,-2,95,718,380,0.13,1000,20,61,1.8,,,,,,
2001,1,1,10,30,-2,93,843,509,0.13,1000,22,82,1.1,,,,,,
2001,1,1,11,30,-2,96,875,571,0.13,1000,23,107,0.7000000000000001,,,,,,
2001,1,1,12,30,-2,95,877,569,0.13,1000,23,166,0.9,,,,,,
2001,1,1,13,30,-1,82,877,507,0.13,1000,23,201,1.2000000000000002,,,,,,
2001,1,1,14,30,-1,74,802,381,0.13,1000,22,219,1.5,,,,,,
2001,1,1,15,30,0,57,648,213,0.13,1000,19,230,1.5,,,,,,
2001,1,1,16,30,2,23,276,41,0.13,1000,17,235,1.1,,,,,,
2001,1,1,17,30,4,0,0,0,0.13,1000,15,262,0.8,,,,,,
2001,1,1,18,30,4,0,0,0,0.13,1000,14,322,0.8,,,,,,
2001,1,1,19,30,4,0,0,0,0.13,1000,13,8,1.1,,,,,,
2001,1,1,20,30,3,0,0,0,0.13,1000,13,20,1.2000000000000002,,,,,,
2001,1,1,21,30,2,0,0,0,0.13,1000,12,26,1.3,,,,,,
2001,1,1,22,30,0,0,0,0,0.13,1000,12,29,1.5,,,,,,
2001,1,1,23,30,0,0,0,0,0.13,1000,12,29,1.7000000000000002,,,,,,
2001,1,2,0,30,-1,0,0,0,0.13,1000,12,36,2,,,,,,
2001,1,2,1,30,-2,0,0,0,0.13,1000,12,41,2.4000000000000004,,,,,,
2001,1,2,2,30,-2,0,0,0,0.13,1000,12,44,2.7,,,,,,
2001,1,2,3,30,-2,0,0,0,0.13,1000,12,46,3,,,,,,
2001,1,2,4,30,-3,0,0,0,0.13,1000,12,44,3.7,,,,,,
2001,1,2,5,30,-3,0,0,0,0.13,1000,12,42,4.3,,,,,,
2001,1,2,6,30,-2,0,0,0,0.13,1000,12,43,4.800000000000001,,,,,,
2001,1,2,7,30,-2,26,432,63,0.13,1000,14,44,5.4,,,,,,
2001,1,2,8,30,-2,52,750,245,0.13,1000,17,44,5.800000000000001,,,,,,
2001,1,2,9,30,-1,64,877,412,0.13,1000,19,46,6,,,,,,
2001,1,2,10,30,-1,70,940,534,0.13,1000,21,51,6.2,,,,,,
2001,1,2,11,30,-2,72,966,597,0.13,1000,22,54,6.1000000000000005,,,,,,
2001,1,2,12,30,-2,72,965,594,0.13,1000,23,54,5.9,,,,,,
2001,1,2,13,30,-2,69,938,526,0.13,1000,22,54,5.800000000000001,,,,,,
2001,1,2,14,30,-2,63,869,398,0.13,1000,22,54,5.5,,,,,,
2001,1,2,15,30,-2,55,579,196,0.13,1000,20,54,4.4,,,,,,
2001,1,2,16,30,-2,24,305,44,0.13,1000,17,54,3.2,,,,,,
2001,1,2,17,30,-2,0,0,0,0.13,1000,15,52,3,,,,,,
2001,1,2,18,30,-2,0,0,0,0.13,1000,14,51,3.1,,,,,,
2001,1,2,19,30,-2,0,0,0,0.13,1000,14,50,3.3000000000000003,,,,,,
2001,1,2,20,30,-3,0,0,0,0.13,1000,14,50,3.4000000000000004,,,,,,
2001,1,2,21,30,-3,0,0,0,0.13,1000,14,50,3.5,,,,,,
2001,1,2,22,30,-3,0,0,0,0.13,1000,13,50,3.5,,,,,,
2001,1,2,23,30,-3,0,0,0,0.13,1000,13,51,3.4000000000000004,,,,,,
2001,1,3,0,30,-3,0,0,0,0.13,1000,13,57,3.4000000000000004,,,,,,
2001,1,3,1,30,-3,0,0,0,0.13,1000,13,59,3.3000000000000003,,,,,,
2001,1,3,2,30,-3,0,0,0,0.13,1000,13,56,3.2,,,,,,
2001,1,3,3,30,-3,0,0,0,0.13,1000,13,51,3.3000000000000003,,,,,,
2001,1,3,4,30,-3,0,0,0,0.13,1000,12,47,3.5,,,,,,
2001,1,3,5,30,-3,0,0,0,0.13,1000,12,46,3.8000000000000003,,,,,,
2001,1,3,6,30,-3,0,0,0,0.13,1000,12,45,4.3,,,,,,
2001,1,3,7,30,-3,26,451,65,0.13,1000,14,46,4.9,,,,,,
2001,1,3,8,30,-3,51,766,249,0.13,1000,16,47,5.1000000000000005,,,,,,
2001,1,3,9,30,-2,63,890,417,0.13,1000,19,54,4.9,,,,,,
2001,1,3,10,30,-2,70,946,539,0.13,1000,22,69,4.4,,,,,,
2001,1,3,11,30,-3,74,967,601,0.13,1000,23,80,3.6,,,,,,
2001,1,3,12,30,-5,74,964,597,0.13,1000,24,83,3,,,,,,
2001,1,3,13,30,-7,69,941,529,0.13,1000,25,82,2.4000000000000004,,,,,,
2001,1,3,14,30,-8,62,878,402,0.13,1000,24,78,1.5,,,,,,
2001,1,3,15,30,-6,50,742,232,0.13,1000,21,62,0.8,,,,,,
2001,1,3,16,30,-3,23,386,50,0.13,1000,18,360,0.8,,,,,,
2001,1,3,17,30,-3,0,0,0,0.13,1000,16,3,1.3,,,,,,
2001,1,3,18,30,-2,0,0,0,0.13,1000,15,18,1.7000000000000002,,,,,,
2001,1,3,19,30,-2,0,0,0,0.13,1000,14,38,2,,,,,,
2001,1,3,20,30,-2,0,0,0,0.13,1000,14,51,2.4000000000000004,,,,,,
2001,1,3,21,30,-3,0,0,0,0.13,1000,13,57,2.5,,,,,,
2001,1,3,22,30,-3,0,0,0,0.13,1000,13,60,2.5,,,,,,
2001,1,3,23,30,-3,0,0,0,0.13,1000,13,62,2.4000000000000004,,,,,,
2001,1,4,0,30,-3,0,0,0,0.13,1000,12,62,2.2,,,,,,
2001,1,4,1,30,-3,0,0,0,0.13,1000,12,58,2.2,,,,,,
2001,1,4,2,30,-3,0,0,0,0.13,1000,12,54,2.3000000000000003,,,,,,
