Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,83569,-,-,-,34.05,-117.74,-8,268,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
1999,1,1,0,30,0,0,0,0,0.15,970,6,36,1.8,,,,,,
1999,1,1,1,30,-1,0,0,0,0.15,970,6,31,2,,,,,,
1999,1,1,2,30,-2,0,0,0,0.15,970,6,30,2.2,,,,,,
1999,1,1,3,30,-3,0,0,0,0.15,970,5,32,2.5,,,,,,
1999,1,1,4,30,-4,0,0,0,0.15,970,5,36,2.9000000000000004,,,,,,
1999,1,1,5,30,-4,0,0,0,0.15,970,5,38,3.2,,,,,,
1999,1,1,6,30,-4,0,0,0,0.15,970,5,38,3.8000000000000003,,,,,,
1999,1,1,7,30,-4,24,519,71,0.15,970,8,36,4.5,,,,,,
1999,1,1,8,30,-4,44,798,251,0.15,970,12,36,5,,,,,,
1999,1,1,9,30,-4,54,905,413,0.15,970,15,38,4.9,,,,,,
1999,1,1,10,30,-4,60,952,530,0.15,970,18,41,4.2,,,,,,
1999,1,1,11,30,-5,61,975,587,0.15,970,20,40,3.2,,,,,,
1999,1,1,12,30,-5,60,973,581,0.15,970,21,36,2.4000000000000004,,,,,,
1999,1,1,13,30,-5,59,945,512,0.15,970,21,30,1.9000000000000001,,,,,,
1999,1,1,14,30,-5,53,884,386,0.15,970,20,19,1.4000000000000001,,,,,,
1999,1,1,15,30,0,42,753,217,0.15,970,16,14,1,,,,,,
1999,1,1,16,30,0,18,394,41,0.15,970,12,1,1.1,,,,,,
1999,1,1,17,30,-1,0,0,0,0.15,970,10,10,1.2000000000000002,,,,,,
1999,1,1,18,30,-2,0,0,0,0.15,970,9,20,1.3,,,,,,
1999,1,1,19,30,-3,0,0,0,0.15,970,9,29,1.4000000000000001,,,,,,
1999,1,1,20,30,-4,0,0,0,0.15,970,8,36,1.5,,,,,,
1999,1,1,21,30,-5,0,0,0,0.15,970,8,41,1.6,,,,,,
1999,1,1,22,30,-6,0,0,0,0.15,970,8,44,1.7000000000000002,,,,,,
1999,1,1,23,30,-7,0,0,0,0.15,970,7,44,1.7000000000000002,,,,,,
1999,1,2,0,30,-7,0,0,0,0.15,970,7,44,1.9000000000000001,,,,,,
1999,1,2,1,30,-8,0,0,0,0.15,970,7,44,2,,,,,,
1999,1,2,2,30,-8,0,0,0,0.15,970,7,44,2,,,,,,
1999,1,2,3,30,-8,0,0,0,0.15,970,7,44,2.1,,,,,,
1999,1,2,4,30,-8,0,0,0,0.15,970,7,44,2.3000000000000003,,,,,,
1999,1,2,5,30,-8,0,0,0,0.15,970,7,44,2.7,,,,,,
1999,1,2,6,30,-8,0,0,0,0.15,970,8,43,3.3000000000000003,,,,,,
1999,1,2,7,30,-8,24,532,72,0.15,970,10,43,4.3,,,,,,
1999,1,2,8,30,-8,43,816,255,0.15,970,13,43,4.6000000000000005,,,,,,
1999,1,2,9,30,-8,52,927,420,0.15,970,17,42,4.4,,,,,,
1999,1,2,10,30,-8,56,978,539,0.15,970,20,46,3.9000000000000004,,,,,,
1999,1,2,11,30,-10,58,997,598,0.15,970,21,50,3.2,,,,,,
1999,1,2,12,30,-11,58,994,592,0.15,970,22,45,2.6,,,,,,
1999,1,2,13,30,-12,56,968,522,0.15,970,22,38,2.1,,,,,,
1999,1,2,14,30,-11,51,906,393,0.15,970,21,30,1.3,,,,,,
1999,1,2,15,30,-2,42,772,222,0.15,970,17,17,0.9,,,,,,
1999,1,2,16,30,-2,19,420,44,0.15,970,13,358,1.1,,,,,,
1999,1,2,17,30,-3,0,0,0,0.15,970,11,13,1.2000000000000002,,,,,,
1999,1,2,18,30,-4,0,0,0,0.15,970,10,26,1.3,,,,,,
1999,1,2,19,30,-5,0,0,0,0.15,970,10,36,1.4000000000000001,,,,,,
1999,1,2,20,30,-6,0,0,0,0.15,970,9,41,1.4000000000000001,,,,,,
1999,1,2,21,30,-7,0,0,0,0.15,970,9,44,1.5,,,,,,
1999,1,2,22,30,-7,0,0,0,0.15,970,9,46,1.6,,,,,,
1999,1,2,23,30,-8,0,0,0,0.15,970,8,48,1.8,,,,,,
1999,1,3,0,30,-8,0,0,0,0.15,970,8,49,2,,,,,,
1999,1,3,1,30,-8,0,0,0,0.15,970,9,48,2.5,,,,,,
1999,1,3,2,30,-8,0,0,0,0.15,970,9,46,3,,,,,,
1999,1,3,3,30,-7,0,0,0,0.15,970,9,45,3.6,,,,,,
1999,1,3,4,30,-7,0,0,0,0.15,970,8,44,4.1000000000000005,,,,,,
1999,1,3,5,30,-6,0,0,0,0.15,970,8,45,4.4,,,,,,
1999,1,3,6,30,-6,0,0,0,0.15,970,8,44,4.6000000000000005,,,,,,
1999,1,3,7,30,-6,25,511,71,0.15,970,9,44,4.800000000000001,,,,,,
1999,1,3,8,30,-6,46,811,256,0.15,970,13,42,5.2,,,,,,
1999,1,3,9,30,-5,55,930,425,0.15,980,16,48,5.6000000000000005,,,,,,
1999,1,3,10,30,-7,61,983,547,0.15,970,18,50,5.4,,,,,,
1999,1,3,11,30,-7,64,1006,610,0.15,970,19,47,4.800000000000001,,,,,,
1999,1,3,12,30,-8,65,1004,605,0.15,970,20,44,4.1000000000000005,,,,,,
1999,1,3,13,30,-9,62,980,535,0.15,970,20,42,3.6,,,,,,
1999,1,3,14,30,-10,57,917,405,0.15,970,19,42,2.6,,,,,,
1999,1,3,15,30,-5,46,783,231,0.15,970,15,39,1.5,,,,,,
1999,1,3,16,30,-3,21,416,47,0.15,970,12,28,1.2000000000000002,,,,,,
1999,1,3,17,30,-4,0,0,0,0.15,980,10,28,1.3,,,,,,
1999,1,3,18,30,-4,0,0,0,0.15,980,9,36,1.3,,,,,,
1999,1,3,19,30,-5,0,0,0,0.15,980,8,44,1.4000000000000001,,,,,,
1999,1,3,20,30,-5,0,0,0,0.15,980,8,49,1.6,,,,,,
1999,1,3,21,30,-6,0,0,0,0.15,980,7,51,1.7000000000000002,,,,,,
1999,1,3,22,30,-7,0,0,0,0.15,980,7,52,1.8,,,,,,
1999,1,3,23,30,-7,0,0,0,0.15,980,7,51,1.8,,,,,,
1999,1,4,0,30,-7,0,0,0,0.15,980,6,50,1.8,,,,,,
1999,1,4,1,30,-8,0,0,0,0.15,980,6,50,1.9000000000000001,,,,,,
1999,1,4,2,30,-8,0,0,0,0.15,980,6,49,2,,,,,,
1999,1,4,3,30,-8,0,0,0,0.15,980,6,50,2.1,,,,,,
1999,1,4,4,30,-8,0,0,0,0.15,980,6,51,2.2,,,,,,
1999,1,4,5,30,-8,0,0,0,0.15,980,5,52,2.3000000000000003,,,,,,
1999,1,4,6,30,-9,0,0,0,0.15,980,6,52,2.5,,,,,,
1999,1,4,7,30,-8,26,508,72,0.15,980,9,51,3.4000000000000004,,,,,,
1999,1,4,8,30,-8,49,805,258,0.15,980,12,51,3.8000000000000003,,,,,,
1999,1,4,9,30,-7,60,920,426,0.15,980,16,48,3.2,,,,,,
1999,1,4,10,30,-8,65,974,548,0.15,980,19,55,2.3000000000000003,,,,,,
1999,1,4,11,30,-9,68,994,609,0.15,980,20,50,1.5,,,,,,
1999,1,4,12,30,-9,68,991,604,0.15,980,21,29,1.2000000000000002,,,,,,
1999,1,4,13,30,-9,65,966,534,0.15,980,22,8,1.1,,,,,,
1999,1,4,14,30,-9,58,905,404,0.15,980,20,351,0.9,,,,,,
1999,1,4,15,30,-1,47,774,232,0.15,980,17,337,0.8,,,,,,
1999,1,4,16,30,-2,21,410,48,0.15,980,14,332,1,,,,,,
1999,1,4,17,30,-3,0,0,0,0.15,980,12,345,1.1,,,,,,
1999,1,4,18,30,-3,0,0,0,0.15,980,11,3,1.1,,,,,,
1999,1,4,19,30,-4,0,0,0,0.15,980,11,22,1.1,,,,,,
1999,1,4,20,30,-5,0,0,0,0.15,980,11,37,1.2000000000000002,,,,,,
1999,1,4,21,30,-5,0,0,0,0.15,980,10,50,1.3,,,,,,
1999,1,4,22,30,-6,0,0,0,0.15,980,10,58,1.4000000000000001,,,,,,
1999,1,4,23,30,-6,0,0,0,0.15,980,10,62,1.4000000000000001,,,,,,
1999,1,5,0,30,-6,0,0,0,0.15,980,10,61,1.4000000000000001,,,,,,
1999,1,5,1,30,-5,0,0,0,0.15,980,10,54,1.4000000000000001,,,,,,
1999,1,5,2,30,-6,0,0,0,0.15,980,9,41,1.4000000000000001,,,,,,
1999,1,5,3,30,-6,0,0,0,0.15,980,9,33,1.4000000000000001,,,,,,
1999,1,5,4,30,-6,0,0,0,0.15,980,8,31,1.5,,,,,,
1999,1,5,5,30,-7,0,0,0,0.15,980,7,33,1.5,,,,,,
1999,1,5,6,30,-7,0,0,0,0.15,980,7,37,1.5,,,,,,
1999,1,5,7,30,-6,27,473,69,0.15,980,10,41,1.8,,,,,,
1999,1,5,8,30,-5,51,773,252,0.15,980,15,46,2.4000000000000004,,,,,,
1999,1,5,9,30,-7,62,892,418,0.15,980,18,50,2.6,,,,,,
1999,1,5,10,30,-8,66,955,540,0.15,980,21,53,2.1,,,,,,
1999,1,5,11,30,-10,68,977,600,0.15,970,23,56,1.3,,,,,,
1999,1,5,12,30,-10,68,974,596,0.15,970,24,45,0.6000000000000001,,,,,,
1999,1,5,13,30,-9,66,943,526,0.15,970,24,330,0.5,,,,,,
1999,1,5,14,30,-8,61,875,398,0.15,970,22,289,0.6000000000000001,,,,,,
1999,1,5,15,30,0,76,393,171,0.15,970,19,298,0.6000000000000001,,,,,,
1999,1,5,16,30,-1,23,289,42,0.15,970,15,319,0.8,,,,,,
1999,1,5,17,30,-2,0,0,0,0.15,970,13,352,1.1,,,,,,
1999,1,5,18,30,-2,0,0,0,0.15,970,13,18,1.2000000000000002,,,,,,
