Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,147795,-,-,-,39.93,-122.14,-8,73,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2011,1,1,0,30,-1,0,0,0,0.15,1000,1,119,1.6,,,,,,
2011,1,1,1,30,-1,0,0,0,0.15,1000,1,112,1.7000000000000002,,,,,,
2011,1,1,2,30,-1,0,0,0,0.15,1010,1,99,2.2,,,,,,
2011,1,1,3,30,-1,0,0,0,0.15,1000,1,98,2.1,,,,,,
2011,1,1,4,30,-1,0,0,0,0.15,1000,1,100,1.7000000000000002,,,,,,
2011,1,1,5,30,0,0,0,0,0.15,1010,1,108,1.7000000000000002,,,,,,
2011,1,1,6,30,0,0,0,0,0.15,1010,1,123,2,,,,,,
2011,1,1,7,30,0,0,0,0,0.15,1010,1,133,2.3000000000000003,,,,,,
2011,1,1,8,30,0,56,340,106,0.15,1010,2,140,2.4000000000000004,,,,,,
2011,1,1,9,30,1,81,0,81,0.15,1010,3,142,2.6,,,,,,
2011,1,1,10,30,1,21,0,21,0.15,1010,3,148,2.7,,,,,,
2011,1,1,11,30,1,66,0,66,0.15,1010,4,150,2.8000000000000003,,,,,,
2011,1,1,12,30,1,74,0,74,0.15,1010,4,148,2.7,,,,,,
2011,1,1,13,30,1,44,0,44,0.15,1010,4,145,2.4000000000000004,,,,,,
2011,1,1,14,30,1,73,0,73,0.15,1010,4,142,1.8,,,,,,
2011,1,1,15,30,0,77,407,162,0.15,1010,3,136,1.2000000000000002,,,,,,
2011,1,1,16,30,0,23,72,27,0.15,1010,2,128,1,,,,,,
2011,1,1,17,30,0,0,0,0,0.15,1010,2,123,1.1,,,,,,
2011,1,1,18,30,0,0,0,0,0.15,1010,3,119,1.1,,,,,,
2011,1,1,19,30,1,0,0,0,0.15,1010,3,118,1,,,,,,
2011,1,1,20,30,1,0,0,0,0.15,1010,3,118,0.9,,,,,,
2011,1,1,21,30,1,0,0,0,0.15,1010,3,114,0.9,,,,,,
2011,1,1,22,30,1,0,0,0,0.15,1010,4,113,0.9,,,,,,
2011,1,1,23,30,2,0,0,0,0.15,1010,4,120,0.9,,,,,,
2011,1,2,0,30,2,0,0,0,0.15,1010,4,125,0.9,,,,,,
2011,1,2,1,30,2,0,0,0,0.15,1000,4,120,0.9,,,,,,
2011,1,2,2,30,2,0,0,0,0.15,1000,4,102,0.9,,,,,,
2011,1,2,3,30,2,0,0,0,0.15,1000,4,82,1,,,,,,
2011,1,2,4,30,1,0,0,0,0.15,1000,4,72,1.2000000000000002,,,,,,
2011,1,2,5,30,1,0,0,0,0.15,1000,4,64,1.6,,,,,,
2011,1,2,6,30,1,0,0,0,0.15,1000,4,61,2,,,,,,
2011,1,2,7,30,1,0,0,0,0.15,1000,4,64,2.3000000000000003,,,,,,
2011,1,2,8,30,2,45,0,45,0.15,1000,4,67,2.3000000000000003,,,,,,
2011,1,2,9,30,2,106,17,111,0.15,1010,5,68,2.2,,,,,,
2011,1,2,10,30,3,54,0,54,0.15,1000,6,67,1.9000000000000001,,,,,,
2011,1,2,11,30,4,70,0,70,0.15,1000,8,75,1.2000000000000002,,,,,,
2011,1,2,12,30,5,119,0,119,0.15,1000,9,130,0.9,,,,,,
2011,1,2,13,30,5,137,476,336,0.15,1000,10,184,1,,,,,,
